version 40062314
stamp 2019-06-12 10:23:43.906459
last_osdmap_epoch 10467
last_pg_scan 10432
full_ratio 0.95
nearfull_ratio 0.85
pg_stat	objects	mip	degr	misp	unf	bytes	log	disklog	state	state_stamp	v	reported	up	up_primary	acting	acting_primary	last_scrub	scrub_stamp	last_deep_scrub	deep_scrub_stamp
1.fe	199	0	0	0	0	772486144	2284	2284	active+clean	2019-06-11 17:02:18.901503	10467'12697	10467:69430	[6,17]	6	[6,17]	6	10467'12695	2019-06-11 17:02:18.901153	10467'12695	2019-06-11 17:02:18.901153
4.fb	90	0	0	0	0	373293074	3067	3067	active+clean	2019-06-11 16:39:29.106028	10467'672801	10467:567211	[6,16]	6	[6,16]	6	10467'672796	2019-06-11 16:39:29.105526	10467'672796	2019-06-11 16:39:29.105526
1.ff	209	0	0	0	0	833401856	3015	3015	active+clean	2019-06-12 01:56:32.122501	10467'12813	10467:16020	[21,16]	21	[21,16]	21	10467'12790	2019-06-12 01:56:32.122090	10467'12790	2019-06-12 01:56:32.122090
4.fa	89	0	0	0	0	364937216	3037	3037	active+clean	2019-06-11 16:45:37.382829	10467'911835	10467:800867	[0,15]	0	[0,15]	0	10467'911558	2019-06-11 16:45:37.382644	10467'911558	2019-06-11 16:45:37.382644
1.fc	216	0	0	0	0	842254336	3022	3022	active+clean	2019-06-12 03:00:51.361912	10467'8336	10467:6971	[24,16]	24	[24,16]	24	10467'8333	2019-06-12 03:00:51.361270	10467'8333	2019-06-12 03:00:51.361270
4.f9	78	0	0	0	0	322977792	3010	3010	active+clean	2019-06-12 01:13:45.609061	10467'898148	10467:1253332	[18,17]	18	[18,17]	18	10467'898147	2019-06-12 01:13:45.608527	10467'898147	2019-06-12 01:13:45.608527
1.fd	225	0	0	0	0	879290386	3083	3083	active+clean	2019-06-11 16:55:58.594577	10467'13256	10467:19775	[6,16]	6	[6,16]	6	10467'13254	2019-06-11 16:55:58.594141	10467'13254	2019-06-11 16:55:58.594141
4.f8	93	0	0	0	0	369516579	3051	3051	active+clean	2019-06-11 16:15:59.951822	10467'744175	10467:562792	[0,23]	0	[0,23]	0	10467'744175	2019-06-11 16:15:59.951647	10467'744175	2019-06-11 16:15:59.951647
1.fa	225	0	0	0	0	872211528	3063	3063	active+clean	2019-06-09 23:12:35.002402	10458'12162	10467:16775	[16,26]	16	[16,26]	16	10434'12118	2019-06-09 23:12:35.002266	10434'12118	2019-06-05 23:12:24.376415
4.ff	97	0	0	0	0	402984960	3063	3063	active+clean	2019-06-11 22:19:02.435134	10461'511064	10467:504679	[24,6]	24	[24,6]	24	10461'511064	2019-06-11 22:19:02.434606	10435'507782	2019-06-05 22:18:49.283959
1.fb	200	0	0	0	0	787101696	2907	2907	active+clean	2019-06-11 22:09:26.402481	10458'9780	10467:32792	[23,7]	23	[23,7]	23	10458'9780	2019-06-11 22:09:26.402188	8508'9745	2019-06-05 22:09:13.527818
4.fe	92	0	0	0	0	367939602	3036	3036	active+clean	2019-06-11 16:48:39.155473	10467'1050989	10467:875092	[0,15]	0	[0,15]	0	10467'1050976	2019-06-11 16:48:39.155203	10467'1050976	2019-06-11 16:48:39.155203
1.f8	209	0	0	0	0	810775058	3085	3085	active+clean	2019-06-11 22:06:50.059862	10458'5184	10467:4226	[23,6]	23	[23,6]	23	10458'5184	2019-06-11 22:06:50.059588	8480'5159	2019-06-05 22:06:29.159908
4.fd	96	0	0	0	0	401027072	3060	3060	active+clean	2019-06-10 01:06:37.442425	10467'2408573	10467:2392249	[9,18]	9	[9,18]	9	10443'2406034	2019-06-10 01:06:37.442187	10435'2394901	2019-06-06 00:22:11.166577
1.f9	208	0	0	0	0	796733440	2979	2979	active+clean	2019-06-12 00:39:24.559017	10467'16495	10467:20435	[25,9]	25	[25,9]	25	10467'16495	2019-06-12 00:39:24.558626	10467'16495	2019-06-12 00:39:24.558626
4.fc	92	0	0	0	0	373301265	3028	3028	active+clean	2019-06-12 01:13:53.036329	10467'1092753	10467:1043869	[18,15]	18	[18,15]	18	10467'1092753	2019-06-12 01:13:53.036018	10467'1092753	2019-06-12 01:13:53.036018
4.f3	84	0	0	0	0	348143616	3032	3032	active+clean	2019-06-11 16:15:08.832255	10467'834284	10467:865737	[0,24]	0	[0,24]	0	10467'834276	2019-06-11 16:15:08.831952	10467'834276	2019-06-11 16:15:08.831952
1.f6	200	0	0	0	0	774633984	3059	3059	active+clean	2019-06-12 03:22:31.011243	10467'11904	10467:14409	[24,15]	24	[24,15]	24	10467'11904	2019-06-12 03:22:31.010941	10467'11904	2019-06-12 03:22:31.010941
1.f7	184	0	0	0	0	709947392	3052	3052	active+clean	2019-06-12 01:14:45.062143	10467'12073	10467:14216	[24,16]	24	[24,16]	24	10467'12073	2019-06-12 01:14:45.061553	10467'12073	2019-06-12 01:14:45.061553
4.f2	92	0	0	0	0	381845522	3065	3065	active+clean	2019-06-12 02:49:50.399816	10467'989247	10467:775152	[24,15]	24	[24,15]	24	10467'989247	2019-06-12 02:49:50.399327	10467'989247	2019-06-12 02:49:50.399327
4.f1	80	0	0	0	0	325836817	3080	3080	active+clean	2019-06-11 22:15:47.356095	10467'1368564	10467:1578049	[24,6]	24	[24,6]	24	10467'1368491	2019-06-11 22:15:47.355844	10435'1359537	2019-06-05 22:15:31.154567
1.f4	188	0	0	0	0	734052352	3067	3067	active+clean	2019-06-12 02:22:14.650533	10467'11976	10467:210093	[21,15]	21	[21,15]	21	10467'11976	2019-06-12 02:22:14.650392	10467'11976	2019-06-12 02:22:14.650392
4.f0	97	0	0	0	0	387434513	3073	3073	active+clean	2019-06-11 16:48:39.610541	10467'880436	10467:861561	[6,16]	6	[6,16]	6	10467'880434	2019-06-11 16:48:39.610452	10467'880434	2019-06-11 16:48:39.610452
1.f5	233	0	0	0	0	894288914	3042	3042	active+clean	2019-06-12 03:22:16.754651	10467'7002	10467:9864	[18,17]	18	[18,17]	18	10467'7002	2019-06-12 03:22:16.754239	10467'7002	2019-06-12 03:22:16.754239
4.f7	89	0	0	0	0	365385745	3016	3016	active+clean	2019-06-09 23:09:24.974348	10467'785245	10467:744796	[9,18]	9	[9,18]	9	10443'782243	2019-06-09 23:09:24.974168	10435'768884	2019-06-05 23:05:57.094660
1.f2	229	0	0	0	0	888290322	2893	2893	active+clean	2019-06-12 01:02:30.468492	10467'10826	10467:24868	[26,15]	26	[26,15]	26	10467'10826	2019-06-12 01:02:30.468073	10467'10826	2019-06-12 01:02:30.468073
4.f6	90	0	0	0	0	367280128	3011	3011	active+clean	2019-06-11 16:34:15.789617	10467'1388972	10467:1142270	[0,21]	0	[0,21]	0	10467'1388972	2019-06-11 16:34:15.788840	10467'1388972	2019-06-11 16:34:15.788840
1.f3	249	0	0	0	0	956123136	3078	3078	active+clean	2019-06-10 01:24:02.145947	10467'9684	10467:13157	[15,24]	15	[15,24]	15	8480'9565	2019-06-10 01:24:02.145485	8480'9565	2019-06-06 00:35:07.076492
4.f5	99	0	0	0	0	417964032	3098	3098	active+clean	2019-06-09 23:09:25.918218	10467'1222031	10467:1127455	[9,24]	9	[9,24]	9	10443'1221746	2019-06-09 23:09:25.917927	10435'1220666	2019-06-05 23:06:51.514737
1.f0	198	0	0	0	0	766154787	3044	3044	active+clean	2019-06-11 17:01:22.905078	10467'14115	10467:20510	[6,24]	6	[6,24]	6	10467'14115	2019-06-11 17:01:22.904528	10467'14115	2019-06-11 17:01:22.904528
4.f4	111	0	0	0	0	448403473	3083	3083	active+clean	2019-06-10 00:54:48.243531	10467'1035276	10467:1044665	[9,26]	9	[9,26]	9	10443'1034278	2019-06-10 00:54:48.243330	10435'1032887	2019-06-06 00:18:03.747465
1.f1	212	0	0	0	0	815865874	3003	3003	active+clean	2019-06-10 01:34:57.762721	10458'17442	10467:23071	[9,25]	9	[9,25]	9	8480'13507	2019-06-10 01:34:57.762618	8480'13507	2019-06-06 00:31:34.268225
4.eb	111	0	0	0	0	457336320	3063	3063	active+clean	2019-06-10 01:06:39.369856	10467'851912	10467:768885	[9,25]	9	[9,25]	9	10443'848832	2019-06-10 01:06:39.369615	10435'842015	2019-06-06 00:22:25.190832
1.ee	204	0	0	0	0	792520210	3058	3058	active+clean	2019-06-11 22:23:20.914790	10458'9600	10467:95384	[24,0]	24	[24,0]	24	10458'9600	2019-06-11 22:23:20.914543	8480'9582	2019-06-05 22:23:04.413988
4.ea	94	0	0	0	0	382566418	3092	3092	active+clean	2019-06-11 16:02:05.626816	10467'613327	10467:833895	[6,23]	6	[6,23]	6	10467'613325	2019-06-11 16:02:05.625418	10467'613325	2019-06-11 16:02:05.625418
1.ef	213	0	0	0	0	831529984	2979	2979	active+clean	2019-06-11 22:24:59.008506	10467'8849	10467:10756	[24,0]	24	[24,0]	24	10467'8849	2019-06-11 22:24:59.008106	8480'8822	2019-06-05 22:24:00.689731
4.e9	87	0	0	0	0	351342592	3017	3017	active+clean	2019-06-12 01:14:56.338801	10467'1061728	10467:909708	[18,17]	18	[18,17]	18	10467'1061728	2019-06-12 01:14:56.338366	10467'1061728	2019-06-12 01:14:56.338366
1.ec	215	0	0	0	0	831598610	3068	3068	active+clean	2019-06-09 23:09:47.070655	10467'10277	10467:12294	[17,0]	17	[17,0]	17	10435'9756	2019-06-09 23:09:47.070309	10435'9756	2019-06-05 23:08:10.203841
4.e8	113	0	0	0	0	462766098	3012	3012	active+clean	2019-06-11 16:17:27.298973	10467'752447	10467:778895	[0,26]	0	[0,26]	0	10467'752430	2019-06-11 16:17:27.298498	10467'752430	2019-06-11 16:17:27.298498
1.ed	202	0	0	0	0	802727936	3080	3080	active+clean	2019-06-11 16:56:09.945165	10467'10214	10467:78568	[6,23]	6	[6,23]	6	10467'10214	2019-06-11 16:56:09.944651	10467'10214	2019-06-11 16:56:09.944651
4.ef	87	0	0	0	0	365221888	3014	3014	active+clean	2019-06-12 02:29:15.570450	10467'733183	10467:749192	[24,9]	24	[24,9]	24	10467'733180	2019-06-12 02:29:15.570198	10467'733180	2019-06-12 02:29:15.570198
1.ea	218	0	0	0	0	829375488	2993	2993	active+clean	2019-06-11 17:10:50.420367	10467'15405	10467:27197	[7,25]	7	[7,25]	7	10467'15405	2019-06-11 17:10:50.420007	10467'15405	2019-06-11 17:10:50.420007
4.ee	113	0	0	0	0	462292992	3064	3064	active+clean	2019-06-11 16:48:50.014700	10467'763195	10467:1613255	[6,9]	6	[6,9]	6	10467'763189	2019-06-11 16:48:50.014359	10467'763189	2019-06-11 16:48:50.014359
1.eb	221	0	0	0	0	842364928	3009	3009	active+clean	2019-06-12 00:24:43.687435	10467'6516	10467:11369	[23,17]	23	[23,17]	23	10467'6516	2019-06-12 00:24:43.687316	10467'6516	2019-06-12 00:24:43.687316
4.ed	99	0	0	0	0	407564305	3099	3099	active+clean	2019-06-09 23:58:21.057844	10467'782321	10467:808611	[15,23]	15	[15,23]	15	10443'781412	2019-06-09 23:58:21.057603	10435'755804	2019-06-05 23:32:02.809469
1.e8	234	0	0	0	0	918545426	2059	2059	active+clean	2019-06-12 01:48:30.337648	10467'8438	10467:10599	[21,9]	21	[21,9]	21	10467'8438	2019-06-12 01:48:30.336883	10467'8438	2019-06-12 01:48:30.336883
4.ec	83	0	0	0	0	348160000	3026	3026	active+clean	2019-06-12 01:08:16.398983	10467'676201	10467:842359	[25,16]	25	[25,16]	25	10467'676201	2019-06-12 01:08:16.398708	10467'676201	2019-06-12 01:08:16.398708
1.e9	196	0	0	0	0	750033937	3025	3025	active+clean	2019-06-12 00:40:46.194086	10467'8169	10467:10954	[23,17]	23	[23,17]	23	10467'8169	2019-06-12 00:40:46.193996	10467'8169	2019-06-12 00:40:46.193996
4.e3	113	0	0	0	0	471587840	3023	3023	active+clean	2019-06-11 16:48:12.096121	10467'1064855	10467:959953	[6,15]	6	[6,15]	6	10467'1064855	2019-06-11 16:48:12.095537	10467'1064855	2019-06-11 16:48:12.095537
1.e6	212	0	0	0	0	841790482	3045	3045	active+clean	2019-06-12 03:00:01.952398	10467'6126	10467:30681	[24,9]	24	[24,9]	24	10467'6126	2019-06-12 03:00:01.951891	10467'6126	2019-06-12 03:00:01.951891
4.e2	104	0	0	0	0	432013329	3028	3028	active+clean	2019-06-11 16:13:46.799367	10467'885128	10467:696388	[6,24]	6	[6,24]	6	10467'885099	2019-06-11 16:13:46.799041	10467'885099	2019-06-11 16:13:46.799041
